sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda,sorted_cells,ng_sorted_dna
Healthy_B09_Nu-44_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-44-Bulk-WB_R1.fastq.gz,NU-44-Bulk-WB_R2.fastq.gz,3d3bda704f19c4ff8bd7eda493627fdf,c1c7974231efe7c6ea0dd9f4b6626dd0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-45_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-45-Bulk-WB_R1.fastq.gz,NU-45-Bulk-WB_R2.fastq.gz,7a48af62fdd6fb4499a2d9165e42898b,2b9350265e0a58fc9dad9bfe09a94b02,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-46_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-46-Bulk-WB_R1.fastq.gz,NU-46-Bulk-WB_R2.fastq.gz,3c6551d23c0d588b5cf339b39b008c52,9004fb3a17c4f279186d2104582a1cc2,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-47_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-47-Bulk-WB_R1.fastq.gz,NU-47-Bulk-WB_R2.fastq.gz,da6db27671a485418e562aa55f8e4ee5,d4d76b9e425b0b3b5253242dd0360ec2,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B09_Nu-48_BulkWB_bsseq,whole_blood,bulk,bsseq,,NU-48-Bulk-WB_R1.fastq.gz,NU-48-Bulk-WB_R2.fastq.gz,2fc40582a88e6ee28a9168e45556c4fc,18ee17bf48d815a4128acd88b342aab0,Active/abul/healthy_paired_wholeblood_and_cfDNA_WGBS_fastq/portal-us.medgenome.com/P2002299_05242021/FASTQ,medgenome,B09,P2002299_05242021,30x,7,100,0.5,,
Healthy_B10_Nu-03_PBMC_bsseq,pbmc,bulk,bsseq,,NU-03-PBMC_R1.fastq.gz,NU-03-PBMC_R2.fastq.gz,46ae19ce8452b2a67157e0acd453cb51,f8c453b706d69404d7b67cd64ced29e1,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-14_PBMC_bsseq,pbmc,bulk,bsseq,,NU-14-PBMC_R1.fastq.gz,NU-14-PBMC_R2.fastq.gz,c8279259cc16205e9049ab4e8327e5b9,fcb4b9456f151ec946a4f4c68e657158,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-24_PBMC_bsseq,pbmc,bulk,bsseq,,NU-24-PBMC_R1.fastq.gz,NU-24-PBMC_R2.fastq.gz,9288b81d92e15eb8f587612309154d4f,ad48c205ecd05f3e2e100541aea1a226,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-31_PBMC_bsseq,pbmc,bulk,bsseq,,NU-31-PBMC_R1.fastq.gz,NU-31-PBMC_R2.fastq.gz,1293b0382d95adee2ba52e934c002c4f,d3dfba2d0cf93d50f495b228853f0b1e,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-49_PBMC_bsseq,pbmc,bulk,bsseq,,NU-49-PBMC_R1.fastq.gz,NU-49-PBMC_R2.fastq.gz,5fd8d77b6d019ec37e57971a01ba5075,2c12c62ac7c812b55aeef1c70d3ecd5e,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-50_PBMC_bsseq,pbmc,bulk,bsseq,,NU-50-PBMC_R1.fastq.gz,NU-50-PBMC_R2.fastq.gz,7c83f27fc17d125494c9c8be255246a7,0c23084e18c85aa81637045787ea18db,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B10_Nu-51_PBMC_bsseq,pbmc,bulk,bsseq,,NU-51-PBMC_R1.fastq.gz,NU-51-PBMC_R2.fastq.gz,d00f51d80bef0e2e374f5d8f0fb638fe,92e3ee96dc31097427716f0c464dce9d,Active/abul/pbmc_pilot_WGBS/portal-us.medgenome.com/P2002864_09232021/FASTQ,medgenome,B10,P2002864_09232021,30x,7,100,0.5,,
Healthy_B11_Seq30_cfDNA_emseq,plasma,cfdna,emseq,,EM-cfDNA-30_R1.fastq.gz,EM-cfDNA-30_R2.fastq.gz,7ef18dc2adab0dd4eb440f64d301fbef,92197716fb50911e3df82f0e22e7ed77,Active/abul/EM-seq_cfDNA_WGBS_technical_expt_fastq/portal-us.medgenome.com/P2003596_03042022/FASTQ,medgenome,B11,P2003596_03042022,30x,7,30,0.15,,
Healthy_B11_Seq10_cfDNA_emseq,plasma,cfdna,emseq,,EM-cfDNA-10_R1.fastq.gz,EM-cfDNA-10_R2.fastq.gz,7778790c837fb3dbe614f0c586a6bf24,0bc4fe9caadd315166bd204f408d6c3c,Active/abul/EM-seq_cfDNA_WGBS_technical_expt_fastq/portal-us.medgenome.com/P2003596_03042022/FASTQ,medgenome,B11,P2003596_03042022,30x,8,10,0.05,,
Healthy_B11_Seq3_cfDNA_emseq,plasma,cfdna,emseq,,EM-cfDNA-3_R1.fastq.gz,EM-cfDNA-3_R2.fastq.gz,188d7f09e4fb80cdb1617acc8c5b1c7d,15fba7119d44fc510294d21e569f8d2a,Active/abul/EM-seq_cfDNA_WGBS_technical_expt_fastq/portal-us.medgenome.com/P2003596_03042022/FASTQ,medgenome,B11,P2003596_03042022,30x,9,3,0.015,,
Healthy__EM-Seq-10_emseq,plasma,cfdna,emseq,Missing raw data,,,,,,medgenome,,,30x,8,10,0.05,,
Healthy__EM-Seq-5_emseq,plasma,cfdna,emseq,Missing raw data,,,,,,medgenome,,,30x,9,5,0.025,,
Healthy__EM-Seq-3_emseq,plasma,cfdna,emseq,Missing raw data,,,,,,medgenome,,,30x,9,3,0.015,,
Healthy__EM-Seq-1_emseq,plasma,cfdna,emseq,Missing raw data,,,,,,medgenome,,,30x,9,1,0.005,,
Healthy__BS-Spike-10_bsseq,plasma,cfdna,bsseq,Missing raw data,,,,,,medgenome,,,30x,8,10,0.05,,
Healthy__BS-Spike-5_bsseq,plasma,cfdna,bsseq,Missing raw data,,,,,,medgenome,,,30x,10,5,0.025,,
Healthy__BS-Spike-1_bsseq,plasma,cfdna,bsseq,Missing raw data,,,,,,medgenome,,,30x,10,1,0.005,,
Healthy_B12_Nu-13_PBMC_emseq,pbmc,bulk,emseq,,Nu-13-PBMC_R1.fastq.gz,Nu-13-PBMC_R2.fastq.gz,9ce598416588d28f7bb0db8b33e7bef8,4fbcc1b515bd5bdfec0bafd19c0514fc,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-16_PBMC_emseq,pbmc,bulk,emseq,,Nu-16-PBMC_R1.fastq.gz,Nu-16-PBMC_R2.fastq.gz,2a5cdcd8e9a919e0b69789bd3904eb0c,d69aae842b5972facd040751edfba9b3,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-18_PBMC_emseq,pbmc,bulk,emseq,,Nu-18-PBMC_R1.fastq.gz,Nu-18-PBMC_R2.fastq.gz,990c95f645b8e9a6a3824be17e62c2ba,18f1ec35b9aee1493e211c7070a505cc,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-20_PBMC_emseq,pbmc,bulk,emseq,,Nu-20-PBMC_R1.fastq.gz,Nu-20-PBMC_R2.fastq.gz,eb55c79c51d6368de5399a4034928c1f,98480f76d8a64d4c940fa8b6c791bcae,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-21_PBMC_emseq,pbmc,bulk,emseq,,Nu-21-PBMC_R1.fastq.gz,Nu-21-PBMC_R2.fastq.gz,dc8fff41fdd53a96b0bad19a19773fa3,0819a1b50bccbdd3f4e55c914c73ca93,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-22_PBMC_emseq,pbmc,bulk,emseq,,Nu-22-PBMC_R1.fastq.gz,Nu-22-PBMC_R2.fastq.gz,c7fa8dbbff7344092705bbf71a06dcb9,3c2c5e27e0d6a5adc8f05c0096d6ca2d,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,90,0.45,,
Healthy_B12_Nu-41_PBMC_emseq,pbmc,bulk,emseq,,Nu-41-PBMC_R1.fastq.gz,Nu-41-PBMC_R2.fastq.gz,0f0822c67e308043af0167f0e33b3340,33ec1c837275a8a805e751c1f3968f8c,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-45_PBMC_emseq,pbmc,bulk,emseq,,Nu-45-PBMC_R1.fastq.gz,Nu-45-PBMC_R2.fastq.gz,a037fb3a09dfa15f2a7dc03db3307d71,fdceadd30befc308839a101e0138dde1,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-52_PBMC_emseq,pbmc,bulk,emseq,,Nu-52-PBMC_R1.fastq.gz,Nu-52-PBMC_R2.fastq.gz,0fec5460db0c74292b8c2c8527000c73,6a89aa289527059cec4f944fdd5da88f,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-53_PBMC_emseq,pbmc,bulk,emseq,,Nu-53-PBMC_R1.fastq.gz,Nu-53-PBMC_R2.fastq.gz,3494b08dfde4051f28db735a559e7d63,cf089209830f8a560ac99a4a3b83d2bd,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-54_PBMC_emseq,pbmc,bulk,emseq,,Nu-54-PBMC_R1.fastq.gz,Nu-54-PBMC_R2.fastq.gz,d1430d5c19225224b3b7cb6277189c91,365b3505941de3b4ca223c02fbe47401,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-55_PBMC_emseq,pbmc,bulk,emseq,,Nu-55-PBMC_R1.fastq.gz,Nu-55-PBMC_R2.fastq.gz,caec68d516812dd47b926b3afd68815f,80b23fbcb9c8ff8f2e8ccd2bacab449b,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-56_PBMC_emseq,pbmc,bulk,emseq,,Nu-56-PBMC_R1.fastq.gz,Nu-56-PBMC_R2.fastq.gz,c34647132755c409513aa39cc8fe6dc5,8103ee6b230be4fd7367fa2e6a3a359a,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-57_PBMC_emseq,pbmc,bulk,emseq,,Nu-57-PBMC_R1.fastq.gz,Nu-57-PBMC_R2.fastq.gz,28d1c7374701a8d2f5fbcccb86857015,b2ac73d97eab4b9c5ee45dee573cf1fb,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
